*********************************************
* Combray
* Date/Time: 09-Oct-2015 14:47:45
* Seed: 213532.9132
* Subject Number: 17
* Subject Name: JH
*********************************************

Block	Trial	RunningTime	Image	CorrResp	Resp	RT
1	1	0.00		2	2		1	0.94
1	2	8.03		1	1		1	0.66
1	3	16.08		3	3		3	1.04
1	4	24.11		3	3		3	1.33
1	5	32.15		3	3		3	1.08
1	6	40.20		3	3		3	0.87
1	7	48.23		1	1		1	1.36
1	8	56.27		1	1		1	0.93
1	9	64.30		1	1		1	0.68
1	10	72.33		2	2		2	0.78
1	11	80.38		4	4		4	0.91
1	12	88.42		2	2		2	1.11
1	13	96.45		1	1		1	0.88
1	14	104.49		3	3		3	0.93
1	15	112.52		3	3		3	0.83
1	16	120.57		3	3		3	0.68
1	17	128.60		4	4		4	0.75
1	18	136.64		4	4		4	0.73
1	19	144.67		4	4		4	0.78
1	20	152.71		4	4		4	0.65
1	21	160.76		2	2		2	0.91
1	22	168.79		1	1		1	0.85
1	23	176.82		4	4		4	0.66
1	24	184.86		1	1		1	0.75
1	25	192.89		2	2		2	0.78
1	26	200.94		3	3		3	0.80
1	27	208.98		2	2		2	0.75
1	28	217.01		4	4		4	1.04
1	29	225.04		3	3		3	0.97
1	30	233.08		1	1		1	0.92
1	31	241.11		4	4		4	0.73
1	32	249.15		2	2		2	1.58
1	33	257.18		2	2		2	0.83
1	34	265.23		4	4		4	1.27
1	35	273.26		3	3		3	0.84
1	36	281.32		2	2		2	0.98
1	37	289.35		1	1		1	0.72
1	38	297.38		2	2		2	0.78
1	39	305.42		1	1		1	0.67
1	40	313.45		4	4		4	0.72
