*********************************************
* Combray
* Date/Time: 14-Oct-2015 15:56:26
* Seed: 215576.2017
* Subject Number: 23
* Subject Name: MM
*********************************************

Block	Trial	RunningTime	Image	CorrResp	Resp	RT
1	1	0.00		3	3		3	1.28
1	2	8.02		2	2		2	0.92
1	3	16.05		2	2		2	0.69
1	4	24.09		3	3		3	1.02
1	5	32.12		1	1		1	0.63
1	6	40.15		1	1		1	0.59
1	7	48.19		3	3		3	1.03
1	8	56.24		4	4		4	0.98
1	9	64.27		1	1		1	0.78
1	10	72.31		4	4		4	0.80
1	11	80.36		1	1		1	0.63
1	12	88.39		3	3		3	1.05
1	13	96.44		2	2		2	1.24
1	14	104.48		2	2		2	0.88
1	15	112.51		4	4		4	0.93
1	16	120.54		4	4		4	0.93
1	17	128.58		2	2		2	0.92
1	18	136.61		2	2		2	0.64
1	19	144.65		4	4		4	1.10
1	20	152.68		2	2		2	0.73
1	21	160.71		1	1		1	0.87
1	22	168.75		1	1		1	0.68
1	23	176.78		4	4		4	1.05
1	24	184.81		3	3		3	0.88
1	25	192.87		4	4		4	1.89
1	26	200.90		2	2		2	0.79
1	27	208.93		3	3		3	0.93
1	28	216.97		4	4		4	0.84
1	29	225.00		4	4		4	1.32
1	30	233.03		2	2		2	0.96
1	31	241.07		3	3		3	1.11
1	32	249.10		2	2		2	0.87
1	33	257.14		3	3		3	0.89
1	34	265.17		1	1		1	0.65
1	35	273.20		3	3		3	1.67
1	36	281.25		3	3		NaN	NaN
1	37	289.31		1	1		1	0.63
1	38	297.34		1	1		1	0.50
1	39	305.37		4	4		4	1.22
1	40	313.41		1	1		1	0.67
