*********************************************
* Combray
* Date/Time: 11-Oct-2015 14:26:27
* Seed: 208799.3748
* Subject Number: 20
* Subject Name: AO
*********************************************

Block	Trial	RunningTime	Image	CorrResp	Resp	RT
1	1	0.00		4	4		NaN	NaN
1	2	8.04		2	2		NaN	NaN
1	3	16.09		1	1		1	0.80
1	4	24.12		2	2		2	0.78
1	5	32.17		2	2		2	1.05
1	6	40.20		2	2		2	0.85
1	7	48.24		3	3		3	0.81
1	8	56.27		2	2		2	0.92
1	9	64.31		4	4		4	1.62
1	10	72.36		2	2		2	0.80
1	11	80.39		3	3		3	1.07
1	12	88.42		2	2		2	0.85
1	13	96.46		2	2		2	0.78
1	14	104.49		1	1		1	0.79
1	15	112.53		1	1		1	0.94
1	16	120.56		4	4		4	1.08
1	17	128.59		1	1		1	1.06
1	18	136.63		4	4		4	1.16
1	19	144.66		4	4		4	1.15
1	20	152.70		4	4		4	1.02
1	21	160.73		4	4		4	0.82
1	22	168.76		1	1		1	0.85
1	23	176.81		2	2		2	0.78
1	24	184.85		4	4		4	0.93
1	25	192.88		1	1		1	1.28
1	26	200.91		4	4		4	0.87
1	27	208.95		1	1		1	0.75
1	28	216.98		3	3		3	0.96
1	29	225.02		3	3		3	0.89
1	30	233.05		4	4		4	1.07
1	31	241.08		1	1		1	0.78
1	32	249.12		3	3		3	1.20
1	33	257.15		3	3		3	0.90
1	34	265.19		1	1		1	0.81
1	35	273.22		1	1		1	0.70
1	36	281.25		3	3		3	0.88
1	37	289.30		3	3		3	0.83
1	38	297.34		2	2		2	0.90
1	39	305.37		3	3		3	0.93
1	40	313.41		3	3		3	0.67
